"suburb","dwelling_type","bedrooms","month_year","rent"
"Acacia Ridge","Flat","1",2021-12-01,340
"Acacia Ridge","Flat","1",2022-03-01,320
"Acacia Ridge","Flat","1",2022-09-01,329
"Acacia Ridge","Flat","1",2022-12-01,329
"Acacia Ridge","Flat","1",2023-03-01,390
"Acacia Ridge","Flat","1",2023-06-01,380
"Acacia Ridge","Flat","1",2023-09-01,410
"Acacia Ridge","House","3",2017-09-01,350
"Acacia Ridge","House","3",2017-12-01,350
"Acacia Ridge","House","3",2018-03-01,340
"Acacia Ridge","House","3",2018-06-01,350
"Acacia Ridge","House","3",2018-09-01,360
"Acacia Ridge","House","3",2018-12-01,340
"Acacia Ridge","House","3",2019-03-01,360
"Acacia Ridge","House","3",2019-06-01,355
"Acacia Ridge","House","3",2019-09-01,360
"Acacia Ridge","House","3",2019-12-01,355
"Acacia Ridge","House","3",2020-03-01,355
"Acacia Ridge","House","3",2020-06-01,360
"Acacia Ridge","House","3",2020-09-01,360
"Acacia Ridge","House","3",2020-12-01,370
"Acacia Ridge","House","3",2021-03-01,380
"Acacia Ridge","House","3",2021-06-01,385
"Acacia Ridge","House","3",2021-09-01,375
"Acacia Ridge","House","3",2021-12-01,415
"Acacia Ridge","House","3",2022-03-01,420
"Acacia Ridge","House","3",2022-06-01,425
"Acacia Ridge","House","3",2022-09-01,460
"Acacia Ridge","House","3",2022-12-01,460
"Acacia Ridge","House","3",2023-03-01,460
"Acacia Ridge","House","3",2023-06-01,500
"Acacia Ridge","House","3",2023-09-01,500
"Acacia Ridge","House","4",2017-12-01,400
"Acacia Ridge","House","4",2018-03-01,410
"Acacia Ridge","House","4",2018-12-01,400
"Acacia Ridge","House","4",2019-03-01,415
"Acacia Ridge","House","4",2022-06-01,450
"Acacia Ridge","House","4",2022-12-01,550
"Acacia Ridge","Townhouse","3",2017-09-01,360
"Acacia Ridge","Townhouse","3",2017-12-01,360
"Acacia Ridge","Townhouse","3",2018-03-01,360
"Acacia Ridge","Townhouse","3",2018-06-01,360
"Acacia Ridge","Townhouse","3",2018-09-01,365
"Acacia Ridge","Townhouse","3",2018-12-01,360
"Acacia Ridge","Townhouse","3",2019-03-01,345
"Acacia Ridge","Townhouse","3",2019-06-01,370
"Acacia Ridge","Townhouse","3",2019-09-01,365
"Acacia Ridge","Townhouse","3",2019-12-01,370
"Acacia Ridge","Townhouse","3",2020-03-01,370
"Acacia Ridge","Townhouse","3",2020-06-01,370
"Acacia Ridge","Townhouse","3",2020-09-01,360
"Acacia Ridge","Townhouse","3",2021-03-01,360
"Acacia Ridge","Townhouse","3",2021-06-01,380
"Acacia Ridge","Townhouse","3",2021-09-01,370
"Acacia Ridge","Townhouse","3",2022-03-01,375
"Acacia Ridge","Townhouse","3",2022-06-01,390
"Acacia Ridge","Townhouse","3",2022-09-01,400
"Acacia Ridge","Townhouse","3",2023-03-01,430
"Acacia Ridge","All Dwellings","",2017-09-01,350
"Acacia Ridge","All Dwellings","",2017-12-01,350
"Acacia Ridge","All Dwellings","",2018-03-01,345
"Acacia Ridge","All Dwellings","",2018-06-01,350
"Acacia Ridge","All Dwellings","",2018-09-01,360
"Acacia Ridge","All Dwellings","",2018-12-01,345
"Acacia Ridge","All Dwellings","",2019-03-01,355
"Acacia Ridge","All Dwellings","",2019-06-01,360
"Acacia Ridge","All Dwellings","",2019-09-01,350
"Acacia Ridge","All Dwellings","",2019-12-01,355
"Acacia Ridge","All Dwellings","",2020-03-01,360
"Acacia Ridge","All Dwellings","",2020-06-01,350
"Acacia Ridge","All Dwellings","",2020-09-01,350
"Acacia Ridge","All Dwellings","",2020-12-01,350
"Acacia Ridge","All Dwellings","",2021-03-01,360
"Acacia Ridge","All Dwellings","",2021-06-01,370
"Acacia Ridge","All Dwellings","",2021-09-01,370
"Acacia Ridge","All Dwellings","",2021-12-01,390
"Acacia Ridge","All Dwellings","",2022-03-01,380
"Acacia Ridge","All Dwellings","",2022-06-01,400
"Acacia Ridge","All Dwellings","",2022-09-01,400
"Acacia Ridge","All Dwellings","",2022-12-01,435
"Acacia Ridge","All Dwellings","",2023-03-01,410
"Acacia Ridge","All Dwellings","",2023-06-01,440
"Acacia Ridge","All Dwellings","",2023-09-01,430
"Albion","Flat","1",2023-09-01,510
"Albion","Flat","2",2023-09-01,575
"Albion","All Dwellings","",2023-09-01,550
"Alderley","Flat","1",2017-09-01,330
"Alderley","Flat","1",2018-03-01,250
"Alderley","Flat","1",2018-06-01,300
"Alderley","Flat","1",2018-09-01,285
"Alderley","Flat","1",2019-03-01,320
"Alderley","Flat","1",2019-06-01,335
"Alderley","Flat","1",2019-12-01,285
"Alderley","Flat","1",2020-09-01,265
"Alderley","Flat","1",2020-12-01,315
"Alderley","Flat","1",2021-03-01,340
"Alderley","Flat","1",2021-09-01,300
"Alderley","Flat","1",2021-12-01,350
"Alderley","Flat","1",2022-09-01,224
"Alderley","Flat","1",2023-06-01,350
"Alderley","Flat","1",2023-09-01,445
"Alderley","Flat","2",2017-09-01,330
"Alderley","Flat","2",2017-12-01,350
"Alderley","Flat","2",2018-03-01,350
"Alderley","Flat","2",2018-06-01,390
"Alderley","Flat","2",2018-09-01,340
"Alderley","Flat","2",2018-12-01,350
"Alderley","Flat","2",2019-03-01,390
"Alderley","Flat","2",2019-06-01,365
"Alderley","Flat","2",2019-09-01,360
"Alderley","Flat","2",2019-12-01,360
"Alderley","Flat","2",2020-03-01,370
"Alderley","Flat","2",2020-06-01,355
"Alderley","Flat","2",2020-09-01,360
"Alderley","Flat","2",2020-12-01,375
"Alderley","Flat","2",2021-03-01,375
"Alderley","Flat","2",2021-06-01,399
"Alderley","Flat","2",2021-09-01,400
"Alderley","Flat","2",2021-12-01,375
"Alderley","Flat","2",2022-03-01,400
"Alderley","Flat","2",2022-06-01,440
"Alderley","Flat","2",2022-09-01,450
"Alderley","Flat","2",2022-12-01,490
"Alderley","Flat","2",2023-03-01,500
"Alderley","Flat","2",2023-06-01,470
"Alderley","Flat","2",2023-09-01,480
"Alderley","Flat","3",2018-03-01,460
"Alderley","Flat","3",2021-03-01,460
"Alderley","House","3",2017-09-01,495
"Alderley","House","3",2017-12-01,475
"Alderley","House","3",2018-03-01,450
"Alderley","House","3",2018-06-01,460
"Alderley","House","3",2018-09-01,470
"Alderley","House","3",2018-12-01,430
"Alderley","House","3",2019-03-01,495
"Alderley","House","3",2019-06-01,475
"Alderley","House","3",2019-09-01,430
"Alderley","House","3",2019-12-01,510
"Alderley","House","3",2020-03-01,520
"Alderley","House","3",2020-06-01,495
"Alderley","House","3",2020-09-01,510
"Alderley","House","3",2020-12-01,495
"Alderley","House","3",2021-03-01,490
"Alderley","House","3",2021-06-01,510
"Alderley","House","3",2021-12-01,600
"Alderley","House","3",2022-03-01,590
"Alderley","House","3",2022-06-01,620
"Alderley","House","3",2022-09-01,625
"Alderley","House","3",2022-12-01,600
"Alderley","House","3",2023-03-01,580
"Alderley","House","3",2023-06-01,690
"Alderley","House","3",2023-09-01,650
"Alderley","House","4",2018-03-01,550
"Alderley","House","4",2019-12-01,650
"Alderley","House","4",2021-03-01,660
"Alderley","House","4",2021-06-01,700
"Alderley","House","4",2022-03-01,725
"Alderley","House","4",2023-03-01,825
"Alderley","Townhouse","2",2018-12-01,410
"Alderley","Townhouse","3",2018-03-01,520
"Alderley","Townhouse","3",2019-03-01,500
"Alderley","Townhouse","3",2019-09-01,530
"Alderley","Townhouse","3",2019-12-01,500
"Alderley","Townhouse","3",2020-03-01,545
"Alderley","Townhouse","3",2020-09-01,485
"Alderley","Townhouse","3",2021-03-01,625
"Alderley","Townhouse","3",2021-06-01,470
"Alderley","Townhouse","3",2021-09-01,580
"Alderley","Townhouse","3",2021-12-01,500
"Alderley","Townhouse","3",2022-03-01,550
"Alderley","Townhouse","3",2022-12-01,620
"Alderley","Townhouse","3",2023-06-01,650
"Alderley","All Dwellings","",2017-09-01,380
"Alderley","All Dwellings","",2017-12-01,400
"Alderley","All Dwellings","",2018-03-01,399
"Alderley","All Dwellings","",2018-06-01,400
"Alderley","All Dwellings","",2018-09-01,370
"Alderley","All Dwellings","",2018-12-01,390
"Alderley","All Dwellings","",2019-03-01,400
"Alderley","All Dwellings","",2019-06-01,380
"Alderley","All Dwellings","",2019-09-01,410
"Alderley","All Dwellings","",2019-12-01,400
"Alderley","All Dwellings","",2020-03-01,410
"Alderley","All Dwellings","",2020-06-01,395
"Alderley","All Dwellings","",2020-09-01,400
"Alderley","All Dwellings","",2020-12-01,395
"Alderley","All Dwellings","",2021-03-01,425
"Alderley","All Dwellings","",2021-06-01,420
"Alderley","All Dwellings","",2021-09-01,405
"Alderley","All Dwellings","",2021-12-01,450
"Alderley","All Dwellings","",2022-03-01,450
"Alderley","All Dwellings","",2022-06-01,480
"Alderley","All Dwellings","",2022-09-01,500
"Alderley","All Dwellings","",2022-12-01,550
"Alderley","All Dwellings","",2023-03-01,500
"Alderley","All Dwellings","",2023-06-01,525
"Alderley","All Dwellings","",2023-09-01,500
"Algester","Flat","2",2018-06-01,290
"Algester","House","3",2017-09-01,375
"Algester","House","3",2017-12-01,390
"Algester","House","3",2018-03-01,380
"Algester","House","3",2018-06-01,390
"Algester","House","3",2018-09-01,385
"Algester","House","3",2018-12-01,390
"Algester","House","3",2019-03-01,400
"Algester","House","3",2019-06-01,390
"Algester","House","3",2019-09-01,390
"Algester","House","3",2019-12-01,410
"Algester","House","3",2020-03-01,400
"Algester","House","3",2020-06-01,400
"Algester","House","3",2020-09-01,400
"Algester","House","3",2020-12-01,395
"Algester","House","3",2021-03-01,400
"Algester","House","3",2021-06-01,415
"Algester","House","3",2021-09-01,420
"Algester","House","3",2021-12-01,430
"Algester","House","3",2022-06-01,470
"Algester","House","3",2022-09-01,480
"Algester","House","3",2022-12-01,520
"Algester","House","3",2023-03-01,500
"Algester","House","3",2023-06-01,530
"Algester","House","3",2023-09-01,540
"Algester","House","4",2017-09-01,440
"Algester","House","4",2017-12-01,435
"Algester","House","4",2018-03-01,430
"Algester","House","4",2018-06-01,450
"Algester","House","4",2018-09-01,435
"Algester","House","4",2018-12-01,470
"Algester","House","4",2019-03-01,450
"Algester","House","4",2019-06-01,460
"Algester","House","4",2019-09-01,435
"Algester","House","4",2019-12-01,450
"Algester","House","4",2020-03-01,450
"Algester","House","4",2020-06-01,440
"Algester","House","4",2020-09-01,450
"Algester","House","4",2020-12-01,470
"Algester","House","4",2021-03-01,470
"Algester","House","4",2021-06-01,500
"Algester","House","4",2021-09-01,510
"Algester","House","4",2021-12-01,495
"Algester","House","4",2022-03-01,520
"Algester","House","4",2022-06-01,550
"Algester","House","4",2022-09-01,595
"Algester","House","4",2022-12-01,595
"Algester","House","4",2023-03-01,640
"Algester","House","4",2023-06-01,630
"Algester","House","4",2023-09-01,660
"Algester","Townhouse","3",2017-09-01,390
"Algester","Townhouse","3",2017-12-01,395
"Algester","Townhouse","3",2018-03-01,390
"Algester","Townhouse","3",2018-06-01,370
"Algester","Townhouse","3",2018-09-01,375
"Algester","Townhouse","3",2018-12-01,385
"Algester","Townhouse","3",2019-03-01,380
"Algester","Townhouse","3",2019-06-01,385
"Algester","Townhouse","3",2019-09-01,370
"Algester","Townhouse","3",2019-12-01,380
"Algester","Townhouse","3",2020-03-01,385
"Algester","Townhouse","3",2020-06-01,390
"Algester","Townhouse","3",2020-09-01,390
"Algester","Townhouse","3",2020-12-01,380
"Algester","Townhouse","3",2021-03-01,385
"Algester","Townhouse","3",2021-06-01,390
"Algester","Townhouse","3",2021-09-01,395
"Algester","Townhouse","3",2021-12-01,395
"Algester","Townhouse","3",2022-03-01,415
"Algester","Townhouse","3",2022-06-01,425
"Algester","Townhouse","3",2022-09-01,465
"Algester","Townhouse","3",2022-12-01,480
"Algester","Townhouse","3",2023-03-01,500
"Algester","Townhouse","3",2023-06-01,500
"Algester","Townhouse","3",2023-09-01,550
"Algester","All Dwellings","",2017-09-01,390
"Algester","All Dwellings","",2017-12-01,395
"Algester","All Dwellings","",2018-03-01,390
"Algester","All Dwellings","",2018-06-01,385
"Algester","All Dwellings","",2018-09-01,400
"Algester","All Dwellings","",2018-12-01,395
"Algester","All Dwellings","",2019-03-01,395
"Algester","All Dwellings","",2019-06-01,390
"Algester","All Dwellings","",2019-09-01,385
"Algester","All Dwellings","",2019-12-01,395
"Algester","All Dwellings","",2020-03-01,390
"Algester","All Dwellings","",2020-06-01,400
"Algester","All Dwellings","",2020-09-01,425
"Algester","All Dwellings","",2020-12-01,395
"Algester","All Dwellings","",2021-03-01,395
"Algester","All Dwellings","",2021-06-01,410
"Algester","All Dwellings","",2021-09-01,450
"Algester","All Dwellings","",2021-12-01,440
"Algester","All Dwellings","",2022-03-01,440
"Algester","All Dwellings","",2022-06-01,470
"Algester","All Dwellings","",2022-09-01,490
"Algester","All Dwellings","",2022-12-01,530
"Algester","All Dwellings","",2023-03-01,510
"Algester","All Dwellings","",2023-06-01,550
"Algester","All Dwellings","",2023-09-01,550
"Annerley","Flat","1",2017-09-01,275
"Annerley","Flat","1",2017-12-01,275
"Annerley","Flat","1",2018-03-01,280
"Annerley","Flat","1",2018-06-01,270
"Annerley","Flat","1",2018-09-01,280
"Annerley","Flat","1",2018-12-01,275
"Annerley","Flat","1",2019-03-01,285
"Annerley","Flat","1",2019-06-01,285
"Annerley","Flat","1",2019-09-01,270
"Annerley","Flat","1",2019-12-01,290
"Annerley","Flat","1",2020-03-01,295
"Annerley","Flat","1",2020-06-01,280
"Annerley","Flat","1",2020-09-01,260
"Annerley","Flat","1",2020-12-01,290
"Annerley","Flat","1",2021-03-01,290
"Annerley","Flat","1",2021-06-01,291
"Annerley","Flat","1",2021-09-01,300
"Annerley","Flat","1",2021-12-01,300
"Annerley","Flat","1",2022-03-01,320
"Annerley","Flat","1",2022-06-01,310
"Annerley","Flat","1",2022-09-01,335
"Annerley","Flat","1",2022-12-01,350
"Annerley","Flat","1",2023-03-01,360
"Annerley","Flat","1",2023-06-01,350
"Annerley","Flat","1",2023-09-01,360
"Annerley","Flat","2",2017-09-01,340
"Annerley","Flat","2",2017-12-01,330
"Annerley","Flat","2",2018-03-01,345
"Annerley","Flat","2",2018-06-01,320
"Annerley","Flat","2",2018-09-01,365
"Annerley","Flat","2",2018-12-01,336
"Annerley","Flat","2",2019-03-01,350
"Annerley","Flat","2",2019-06-01,350
"Annerley","Flat","2",2019-09-01,350
"Annerley","Flat","2",2019-12-01,340
"Annerley","Flat","2",2020-03-01,350
"Annerley","Flat","2",2020-06-01,335
"Annerley","Flat","2",2020-09-01,330
"Annerley","Flat","2",2020-12-01,360
"Annerley","Flat","2",2021-03-01,340
"Annerley","Flat","2",2021-06-01,345
"Annerley","Flat","2",2021-09-01,350
"Annerley","Flat","2",2021-12-01,365
"Annerley","Flat","2",2022-03-01,375
"Annerley","Flat","2",2022-06-01,395
"Annerley","Flat","2",2022-09-01,420
"Annerley","Flat","2",2022-12-01,440
"Annerley","Flat","2",2023-03-01,450
"Annerley","Flat","2",2023-06-01,450
"Annerley","Flat","2",2023-09-01,470
"Annerley","Flat","3",2017-09-01,450
"Annerley","Flat","3",2018-03-01,480
"Annerley","Flat","3",2018-06-01,430
"Annerley","Flat","3",2018-09-01,475
"Annerley","Flat","3",2018-12-01,400
"Annerley","Flat","3",2019-03-01,500
"Annerley","Flat","3",2019-06-01,475
"Annerley","Flat","3",2019-09-01,420
"Annerley","Flat","3",2019-12-01,400
"Annerley","Flat","3",2020-03-01,410
"Annerley","Flat","3",2020-06-01,430
"Annerley","Flat","3",2020-09-01,450
"Annerley","Flat","3",2021-03-01,480
"Annerley","Flat","3",2021-06-01,475
"Annerley","Flat","3",2021-12-01,500
"Annerley","Flat","3",2022-03-01,475
"Annerley","Flat","3",2022-06-01,490
"Annerley","Flat","3",2022-09-01,550
"Annerley","Flat","3",2023-03-01,540
"Annerley","House","2",2018-03-01,400
"Annerley","House","2",2018-06-01,415
"Annerley","House","2",2018-09-01,410
"Annerley","House","2",2018-12-01,400
"Annerley","House","2",2019-03-01,400
"Annerley","House","2",2020-03-01,430
"Annerley","House","2",2021-06-01,415
"Annerley","House","2",2021-09-01,470
"Annerley","House","2",2023-03-01,510
"Annerley","House","3",2017-09-01,460
"Annerley","House","3",2017-12-01,455
"Annerley","House","3",2018-03-01,470
"Annerley","House","3",2018-06-01,460
"Annerley","House","3",2018-09-01,430
"Annerley","House","3",2018-12-01,495
"Annerley","House","3",2019-03-01,485
"Annerley","House","3",2019-06-01,455
"Annerley","House","3",2019-09-01,455
"Annerley","House","3",2019-12-01,475
"Annerley","House","3",2020-03-01,440
"Annerley","House","3",2020-06-01,475
"Annerley","House","3",2020-09-01,460
"Annerley","House","3",2020-12-01,520
"Annerley","House","3",2021-03-01,515
"Annerley","House","3",2021-06-01,520
"Annerley","House","3",2021-09-01,550
"Annerley","House","3",2021-12-01,520
"Annerley","House","3",2022-03-01,550
"Annerley","House","3",2022-06-01,580
"Annerley","House","3",2022-09-01,650
"Annerley","House","3",2022-12-01,600
"Annerley","House","3",2023-03-01,650
"Annerley","House","3",2023-06-01,650
"Annerley","House","3",2023-09-01,700
"Annerley","House","4",2017-09-01,510
"Annerley","House","4",2018-03-01,650
"Annerley","House","4",2018-09-01,520
"Annerley","House","4",2019-03-01,600
"Annerley","House","4",2020-03-01,550
"Annerley","House","4",2021-03-01,595
"Annerley","House","4",2021-12-01,650
"Annerley","House","4",2022-09-01,760
"Annerley","House","4",2022-12-01,650
"Annerley","House","4",2023-03-01,800
"Annerley","Townhouse","2",2021-03-01,450
"Annerley","Townhouse","2",2021-06-01,420
"Annerley","Townhouse","2",2022-06-01,450
"Annerley","Townhouse","2",2023-03-01,475
"Annerley","Townhouse","3",2017-09-01,480
"Annerley","Townhouse","3",2017-12-01,495
"Annerley","Townhouse","3",2018-03-01,510
"Annerley","Townhouse","3",2018-06-01,470
"Annerley","Townhouse","3",2018-09-01,480
"Annerley","Townhouse","3",2018-12-01,495
"Annerley","Townhouse","3",2019-03-01,545
"Annerley","Townhouse","3",2019-06-01,480
"Annerley","Townhouse","3",2019-09-01,490
"Annerley","Townhouse","3",2019-12-01,525
"Annerley","Townhouse","3",2020-03-01,525
"Annerley","Townhouse","3",2020-06-01,500
"Annerley","Townhouse","3",2020-09-01,495
"Annerley","Townhouse","3",2020-12-01,500
"Annerley","Townhouse","3",2021-03-01,520
"Annerley","Townhouse","3",2021-06-01,520
"Annerley","Townhouse","3",2021-09-01,540
"Annerley","Townhouse","3",2021-12-01,595
"Annerley","Townhouse","3",2022-03-01,580
"Annerley","Townhouse","3",2022-06-01,550
"Annerley","Townhouse","3",2022-09-01,575
"Annerley","Townhouse","3",2022-12-01,600
"Annerley","Townhouse","3",2023-03-01,650
"Annerley","Townhouse","3",2023-06-01,650
"Annerley","Townhouse","3",2023-09-01,690
"Annerley","All Dwellings","",2017-09-01,350
"Annerley","All Dwellings","",2017-12-01,335
"Annerley","All Dwellings","",2018-03-01,360
"Annerley","All Dwellings","",2018-06-01,330
"Annerley","All Dwellings","",2018-09-01,375
"Annerley","All Dwellings","",2018-12-01,335
"Annerley","All Dwellings","",2019-03-01,360
"Annerley","All Dwellings","",2019-06-01,370
"Annerley","All Dwellings","",2019-09-01,340
"Annerley","All Dwellings","",2019-12-01,350
"Annerley","All Dwellings","",2020-03-01,355
"Annerley","All Dwellings","",2020-06-01,335
"Annerley","All Dwellings","",2020-09-01,340
"Annerley","All Dwellings","",2020-12-01,370
"Annerley","All Dwellings","",2021-03-01,360
"Annerley","All Dwellings","",2021-06-01,330
"Annerley","All Dwellings","",2021-09-01,350
"Annerley","All Dwellings","",2021-12-01,370
"Annerley","All Dwellings","",2022-03-01,390
"Annerley","All Dwellings","",2022-06-01,390
"Annerley","All Dwellings","",2022-09-01,400
"Annerley","All Dwellings","",2022-12-01,430
"Annerley","All Dwellings","",2023-03-01,440
"Annerley","All Dwellings","",2023-06-01,430
"Annerley","All Dwellings","",2023-09-01,450
"Ascot","Flat","2",2023-09-01,550
"Ascot","Flat","3",2023-09-01,825
"Ascot","All Dwellings","",2023-09-01,650
"Ashgrove","Flat","1",2018-03-01,265
"Ashgrove","Flat","1",2018-06-01,235
"Ashgrove","Flat","1",2018-09-01,250
"Ashgrove","Flat","1",2019-03-01,265
"Ashgrove","Flat","1",2020-03-01,220
"Ashgrove","Flat","1",2020-06-01,250
"Ashgrove","Flat","1",2020-09-01,250
"Ashgrove","Flat","1",2020-12-01,290
"Ashgrove","Flat","1",2021-06-01,260
"Ashgrove","Flat","1",2021-12-01,290
"Ashgrove","Flat","1",2022-06-01,300
"Ashgrove","Flat","1",2022-09-01,325
"Ashgrove","Flat","1",2023-03-01,300
"Ashgrove","Flat","1",2023-06-01,350
"Ashgrove","Flat","2",2017-09-01,400
"Ashgrove","Flat","2",2017-12-01,400
"Ashgrove","Flat","2",2018-03-01,420
"Ashgrove","Flat","2",2018-06-01,370
"Ashgrove","Flat","2",2018-09-01,370
"Ashgrove","Flat","2",2018-12-01,400
"Ashgrove","Flat","2",2019-03-01,400
"Ashgrove","Flat","2",2019-06-01,380
"Ashgrove","Flat","2",2019-09-01,390
"Ashgrove","Flat","2",2019-12-01,360
"Ashgrove","Flat","2",2020-03-01,415
"Ashgrove","Flat","2",2020-06-01,340
"Ashgrove","Flat","2",2020-09-01,380
"Ashgrove","Flat","2",2020-12-01,400
"Ashgrove","Flat","2",2021-03-01,395
"Ashgrove","Flat","2",2021-06-01,380
"Ashgrove","Flat","2",2021-09-01,440
"Ashgrove","Flat","2",2021-12-01,395
"Ashgrove","Flat","2",2022-03-01,460
"Ashgrove","Flat","2",2022-06-01,420
"Ashgrove","Flat","2",2022-09-01,450
"Ashgrove","Flat","2",2022-12-01,500
"Ashgrove","Flat","2",2023-03-01,500
"Ashgrove","Flat","2",2023-06-01,490
"Ashgrove","Flat","2",2023-09-01,550
"Ashgrove","Flat","3",2018-03-01,500
"Ashgrove","Flat","3",2020-09-01,380
"Ashgrove","Flat","3",2021-03-01,485
"Ashgrove","House","2",2018-03-01,450
"Ashgrove","House","2",2019-03-01,450
"Ashgrove","House","2",2019-09-01,460
"Ashgrove","House","2",2021-12-01,465
"Ashgrove","House","2",2022-09-01,600
"Ashgrove","House","2",2022-12-01,560
"Ashgrove","House","3",2017-09-01,490
"Ashgrove","House","3",2017-12-01,425
"Ashgrove","House","3",2018-03-01,495
"Ashgrove","House","3",2018-06-01,505
"Ashgrove","House","3",2018-09-01,500
"Ashgrove","House","3",2018-12-01,550
"Ashgrove","House","3",2019-03-01,500
"Ashgrove","House","3",2019-06-01,505
"Ashgrove","House","3",2019-09-01,495
"Ashgrove","House","3",2019-12-01,525
"Ashgrove","House","3",2020-03-01,530
"Ashgrove","House","3",2020-06-01,495
"Ashgrove","House","3",2020-09-01,500
"Ashgrove","House","3",2020-12-01,550
"Ashgrove","House","3",2021-03-01,495
"Ashgrove","House","3",2021-06-01,615
"Ashgrove","House","3",2021-09-01,600
"Ashgrove","House","3",2021-12-01,600
"Ashgrove","House","3",2022-03-01,660
"Ashgrove","House","3",2022-06-01,610
"Ashgrove","House","3",2022-09-01,600
"Ashgrove","House","3",2022-12-01,680
"Ashgrove","House","3",2023-03-01,650
"Ashgrove","House","3",2023-06-01,650
"Ashgrove","House","3",2023-09-01,670
"Ashgrove","House","4",2017-09-01,725
"Ashgrove","House","4",2017-12-01,690
"Ashgrove","House","4",2018-03-01,630
"Ashgrove","House","4",2018-06-01,730
"Ashgrove","House","4",2018-09-01,700
"Ashgrove","House","4",2018-12-01,750
"Ashgrove","House","4",2019-03-01,750
"Ashgrove","House","4",2019-06-01,780
"Ashgrove","House","4",2019-09-01,750
"Ashgrove","House","4",2019-12-01,750
"Ashgrove","House","4",2020-03-01,680
"Ashgrove","House","4",2020-06-01,745
"Ashgrove","House","4",2020-09-01,645
"Ashgrove","House","4",2020-12-01,695
"Ashgrove","House","4",2021-03-01,780
"Ashgrove","House","4",2021-06-01,720
"Ashgrove","House","4",2021-12-01,780
"Ashgrove","House","4",2022-03-01,820
"Ashgrove","House","4",2022-06-01,850
"Ashgrove","House","4",2022-09-01,950
"Ashgrove","House","4",2022-12-01,800
"Ashgrove","House","4",2023-03-01,960
"Ashgrove","House","4",2023-06-01,850
"Ashgrove","House","4",2023-09-01,900
"Ashgrove","Townhouse","3",2019-03-01,550
"Ashgrove","All Dwellings","",2017-09-01,425
"Ashgrove","All Dwellings","",2017-12-01,425
"Ashgrove","All Dwellings","",2018-03-01,450
"Ashgrove","All Dwellings","",2018-06-01,370
"Ashgrove","All Dwellings","",2018-09-01,440
"Ashgrove","All Dwellings","",2018-12-01,460
"Ashgrove","All Dwellings","",2019-03-01,445
"Ashgrove","All Dwellings","",2019-06-01,430
"Ashgrove","All Dwellings","",2019-09-01,430
"Ashgrove","All Dwellings","",2019-12-01,450
"Ashgrove","All Dwellings","",2020-03-01,440
"Ashgrove","All Dwellings","",2020-06-01,390
"Ashgrove","All Dwellings","",2020-09-01,390
"Ashgrove","All Dwellings","",2020-12-01,435
"Ashgrove","All Dwellings","",2021-03-01,440
"Ashgrove","All Dwellings","",2021-06-01,420
"Ashgrove","All Dwellings","",2021-09-01,440
"Ashgrove","All Dwellings","",2021-12-01,450
"Ashgrove","All Dwellings","",2022-03-01,470
"Ashgrove","All Dwellings","",2022-06-01,465
"Ashgrove","All Dwellings","",2022-09-01,450
"Ashgrove","All Dwellings","",2022-12-01,530
"Ashgrove","All Dwellings","",2023-03-01,550
"Ashgrove","All Dwellings","",2023-06-01,500
"Ashgrove","All Dwellings","",2023-09-01,550
"Aspley","Flat","1",2019-06-01,220
"Aspley","Flat","1",2019-09-01,250
"Aspley","Flat","1",2019-12-01,240
"Aspley","Flat","1",2020-06-01,250
"Aspley","Flat","1",2020-09-01,270
"Aspley","Flat","1",2020-12-01,270
"Aspley","Flat","1",2022-09-01,300
"Aspley","Flat","1",2022-12-01,300
"Aspley","Flat","2",2021-09-01,375
"Aspley","Flat","2",2022-06-01,375
"Aspley","Flat","2",2022-12-01,420
"Aspley","Flat","2",2023-03-01,420
"Aspley","Flat","2",2023-06-01,460
"Aspley","House","3",2017-09-01,420
"Aspley","House","3",2017-12-01,420
"Aspley","House","3",2018-03-01,440
"Aspley","House","3",2018-06-01,430
"Aspley","House","3",2018-09-01,425
"Aspley","House","3",2018-12-01,430
"Aspley","House","3",2019-03-01,450
"Aspley","House","3",2019-06-01,425
"Aspley","House","3",2019-09-01,420
"Aspley","House","3",2019-12-01,450
"Aspley","House","3",2020-03-01,450
"Aspley","House","3",2020-06-01,440
"Aspley","House","3",2020-09-01,465
"Aspley","House","3",2020-12-01,470
"Aspley","House","3",2021-03-01,475
"Aspley","House","3",2021-06-01,500
"Aspley","House","3",2021-09-01,500
"Aspley","House","3",2021-12-01,525
"Aspley","House","3",2022-03-01,540
"Aspley","House","3",2022-06-01,580
"Aspley","House","3",2022-09-01,540
"Aspley","House","3",2022-12-01,540
"Aspley","House","3",2023-03-01,600
"Aspley","House","3",2023-06-01,600
"Aspley","House","3",2023-09-01,600
"Aspley","House","4",2017-09-01,540
"Aspley","House","4",2017-12-01,495
"Aspley","House","4",2018-03-01,475
"Aspley","House","4",2018-06-01,510
"Aspley","House","4",2018-09-01,550
"Aspley","House","4",2018-12-01,520
"Aspley","House","4",2019-03-01,540
"Aspley","House","4",2019-09-01,485
"Aspley","House","4",2019-12-01,500
"Aspley","House","4",2020-03-01,500
"Aspley","House","4",2020-06-01,525
"Aspley","House","4",2020-09-01,570
"Aspley","House","4",2020-12-01,520
"Aspley","House","4",2021-03-01,570
"Aspley","House","4",2021-06-01,600
"Aspley","House","4",2021-09-01,580
"Aspley","House","4",2021-12-01,625
"Aspley","House","4",2022-03-01,600
